Source_Name,CLASS1,DEJ2000,Energy_Flux100,Flux1000,GLAT,GLON,LP_Flux_Density,LP_Index,LP_beta,PLEC_Exp_Index,PLEC_Expfactor,PLEC_Flux_Density,PLEC_Index,PL_Flux_Density,PL_Index,Peak_Interval,Pivot_Energy,RAJ2000,SpectrumType,Energy_Flux100_LP,LP_F1000,LP_F10000
4FGL J0215.9+0300 ,bcu  ,3.0044,3.1033756e-12,2.7903396e-10,-53.619614,160.30334,4.5311407e-14,1.8087919,0.16285133,0.6666667,0.00232162,4.430833e-14,1.4660524,3.8555717e-14,2.0336509,31560000.0,2701.0725,33.9917,PowerLaw         ,2.324046928791057e-12,2.8964649367426954e-10,2.234445769524101e-11
4FGL J0216.5+2313 ,bll  ,23.2295,3.0689318e-12,2.579373e-10,-35.606884,147.15135,1.9752476e-14,1.6976545,0.18167013,0.6666667,0.001401797,1.8086996e-14,1.4149585,1.5123502e-14,1.8531953,31560000.0,4286.857,34.1413,PowerLaw         ,2.5121715724802458e-12,2.6735961277829404e-10,3.279186383912595e-11
4FGL J0216.6-1015 ,bcu  ,-10.2662,6.9951015e-12,6.194456e-10,-63.786316,176.96939,4.5443938e-13,2.1025386,0.08637353,0.6666667,0.0014268175,4.3509304e-13,1.9620123,4.0474742e-13,2.1633863,31560000.0,1308.3075,34.1653,PowerLaw         ,5.999025845161385e-12,6.680450080146456e-10,2.835087339776624e-11
4FGL J0216.8-6635 ,bll  ,-66.5897,5.791585e-12,7.3495293e-10,-48.397533,290.3446,2.9613356e-13,1.7877909,0.14479913,0.6666667,0.0020116374,2.7954993e-13,1.605993,2.5540656e-13,1.9879376,31560000.0,1608.8937,34.2168,LogParabola      ,5.792427851943172e-12,7.349254842090793e-10,4.66661243524812e-11
4FGL J0216.8+0510 ,bcu  ,5.1673,2.4997218e-12,2.2481499e-10,-51.667206,158.7241,4.378909e-14,2.0849407,0.0014148213,0.6666667,0.00049365876,4.525067e-14,1.9659698,4.3691772e-14,2.0868149,31560000.0,2288.7375,34.219,PowerLaw         ,2.4916925454969096e-12,2.2510763432030235e-10,1.8366511989304726e-11
4FGL J0217.0-0821 ,fsrq ,-8.3586,4.5079053e-12,3.5918404e-10,-62.394085,174.0807,5.5485434e-13,2.2712948,0.12957302,0.6666667,0.003646928,5.3814825e-13,1.9727287,4.760142e-13,2.343247,31560000.0,1006.51306,34.2517,PowerLaw         ,3.7705602272632556e-12,3.926832740403079e-10,7.657963462145039e-12
4FGL J0217.2+0837 ,bll  ,8.6234,1.9191036e-11,1.6150239e-09,-48.639996,156.11548,2.0339958e-12,2.240584,0.041729726,0.6666667,0.0011562072,2.0163246e-12,2.1310654,1.9263126e-12,2.2691278,31560000.0,1028.9153,34.3163,PowerLaw         ,1.7830821675065536e-11,1.6667049958881373e-09,6.762118051712754e-11
4FGL J0217.4+7352 ,fsrq ,73.8804,1.3576677e-11,4.7242543e-10,12.013445,128.90186,2.0225596e-11,2.876199,0.10476739,0.6666667,0.006470152,1.9835673e-11,2.606826,1.7852013e-11,2.9398217,31560000.0,364.12955,34.3533,PowerLaw         ,1.3665113336549101e-11,4.5644126749531535e-10,1.7628620843559443e-12
4FGL J0217.8+0144 ,fsrq ,1.7346,2.8836995e-11,2.8417704e-09,-54.418953,162.16364,1.0128789e-11,2.1595938,0.06384521,0.6666667,0.001850605,9.859248e-12,2.0513093,9.472502e-12,2.23636,31560000.0,633.0354,34.4621,LogParabola      ,2.8840636437438256e-11,2.841609873397124e-09,1.01140088607456e-10
4FGL J0218.9-2305 ,bcu  ,-23.0986,3.0466942e-12,1.8117152e-10,-69.81834,206.26004,1.162414e-12,2.5745914,0.04443466,0.6666667,0.0024177264,1.1658764e-12,2.4165015,1.1056629e-12,2.603204,31560000.0,598.43243,34.731,PowerLaw         ,2.9240753093988873e-12,1.8326993134012692e-10,3.102690813370538e-12
4FGL J0218.9+3643 ,bcu  ,36.7176,7.536655e-12,6.8816586e-10,-22.914812,141.86285,1.1391777e-12,2.4738867,0.1847004,0.6666667,0.005721997,1.1078036e-12,2.0294354,9.708695e-13,2.5566409,31560000.0,1004.0688,34.7473,LogParabola      ,7.537822284751995e-12,6.881084448859129e-10,5.914010702972007e-12
4FGL J0219.0+2443 ,bll  ,24.7324,3.6782426e-12,3.1910607e-10,-33.998367,147.06609,2.4367398e-14,1.891116,0.027820643,0.6666667,0.0003632941,2.4381022e-14,1.7921818,2.3072632e-14,1.9093641,31560000.0,3796.0435,34.7734,PowerLaw         ,3.512781513114387e-12,3.2635496152011104e-10,3.787062151851382e-11
