Source_Name,CLASS1,DEJ2000,Energy_Flux100,Flux1000,GLAT,GLON,LP_Flux_Density,LP_Index,LP_beta,PLEC_Exp_Index,PLEC_Expfactor,PLEC_Flux_Density,PLEC_Index,PL_Flux_Density,PL_Index,Peak_Interval,Pivot_Energy,RAJ2000,SpectrumType,Energy_Flux100_PLEC,PLEC_F1000,PLEC_F10000
4FGL J1811.3-2403 ,PSR  ,-24.055,1.8584356e-11,1.4134107e-09,-2.5426774,7.102195,1.6185187e-13,2.4354756,0.18511698,0.6666667,0.002950047,1.5628227e-13,1.8952982,1.288415e-13,2.394984,31560000.0,3125.5305,272.8324,PowerLaw         ,7.221230234567828e-12,8.104839162020755e-10,2.0563566995759545e-11
4FGL J1811.5-1925 ,psr  ,-19.4275,1.1224927e-11,1.0006619e-09,-0.36158422,11.185311,2.7379652e-14,2.072635,0.5405434,0.6666667,0.0056410916,2.6452466e-14,0.5349154,1.6195663e-14,2.1401007,31560000.0,7319.0034,272.8865,PowerLaw         ,7.111699087579102e-13,9.068555232770466e-11,8.583295687785414e-12
4FGL J1813.4-1246 ,PSR  ,-12.7677,2.511813e-10,2.8099935e-08,2.4424722,17.244055,3.6902544e-11,2.4059436,0.3229184,0.6666667,0.010679457,3.5894468e-11,1.5435199,2.7521142e-11,2.4963207,31560000.0,1104.1165,273.3508,PLSuperExpCutoff ,8.027617640729331e-11,8.976122169090408e-09,1.9355274659558546e-11
4FGL J1814.4+3132 ,psr  ,31.5436,3.79008e-12,7.195647e-10,21.11991,58.541595,2.0765972e-13,2.3710678,0.5106424,0.6666667,0.014477849,2.1229958e-13,0.64793885,1.2773205e-13,2.256298,31560000.0,2075.7932,273.6207,LogParabola      ,3.76785471873668e-13,6.765405441845534e-11,1.9539241325333133e-13
4FGL J1816.5+4510 ,PSR  ,45.173,1.01750925e-11,1.6906105e-09,24.734808,72.82637,1.4425131e-12,1.8526546,0.37985584,0.6666667,0.010709236,1.3955133e-12,0.9719564,1.0532574e-12,2.1424105,31560000.0,1210.8888,274.1489,PLSuperExpCutoff ,3.014520376979585e-12,5.007693986093268e-10,3.2257296055501222e-12
4FGL J1817.1-1742 ,PSR  ,-17.7023,2.6672047e-11,3.8214774e-09,-0.707299,13.337569,8.9709116e-13,2.4212341,0.4108907,0.6666667,0.008624099,8.750322e-13,1.3398306,6.3157286e-13,2.534168,31560000.0,2260.5945,274.292,PLSuperExpCutoff ,6.03932034794366e-12,8.651088404555192e-10,6.18844199698752e-12
4FGL J1823.5-3020 ,PSR  ,-30.3495,1.4076008e-11,2.128295e-09,-7.88724,2.787945,6.8611013e-13,2.150732,0.29515707,0.6666667,0.007234065,6.795178e-13,1.2786224,5.022482e-13,2.2143533,31560000.0,1940.0039,275.8915,PLSuperExpCutoff ,4.5692636829771626e-12,6.907432864449689e-10,9.604711465263995e-12
4FGL J1824.1+1013 ,PSR  ,10.2329,6.6752615e-12,1.0491983e-09,10.653879,39.058674,5.0281556e-13,2.0119076,0.34586233,0.6666667,0.0081641935,4.836999e-13,1.1688248,3.6586934e-13,2.2328525,31560000.0,1619.2744,276.0484,PLSuperExpCutoff ,2.1657046235906803e-12,3.4033516632834133e-10,4.034534712935662e-12
4FGL J1824.6-2452 ,PSR  ,-24.8701,2.1493892e-11,3.043747e-09,-5.6004243,7.808166,2.1440271e-12,2.280066,0.35738516,0.6666667,0.010751918,2.0944477e-12,1.260347,1.5267836e-12,2.379188,31560000.0,1399.096,276.1614,PLSuperExpCutoff ,5.600897960553657e-12,7.92958016361884e-10,2.898182740482341e-12
4FGL J1826.1-1256 ,PSR  ,-12.9415,3.8030973e-10,5.4473677e-08,-0.37663406,18.556347,1.554667e-11,2.4817507,0.43099564,0.6666667,0.010216615,1.534739e-11,1.2693094,1.0568889e-11,2.4364896,31560000.0,2069.772,276.5352,PLSuperExpCutoff ,7.237342511634024e-11,1.0362581079851475e-08,4.574711033761596e-11
4FGL J1827.4-1445 ,PSR  ,-14.7622,2.5555003e-11,5.2995555e-09,-1.5148666,17.097658,1.1227437e-12,2.4285634,0.999994,0.6666667,0.019081352,1.0746572e-12,1.7910324e-07,6.3664915e-13,2.7020001,31560000.0,2533.2673,276.8733,PLSuperExpCutoff ,7.371438274575034e-13,1.5284302392779437e-10,2.754868103632463e-13
4FGL J1827.6-0849 ,PSR  ,-8.8271,2.878954e-11,3.169898e-09,1.2159351,22.36783,6.3681845e-13,2.3895192,0.18531276,0.6666667,0.0034247397,6.216075e-13,1.9088358,5.229398e-13,2.4476516,31560000.0,2349.0679,276.9076,PLSuperExpCutoff ,1.5720093445392774e-11,1.730569454857842e-09,3.456855060918967e-11
4FGL J1828.4-1059 ,PSR  ,-10.9964,5.175429e-11,3.7699928e-09,0.037483405,20.536283,1.275046e-12,2.8401282,0.1689917,0.6666667,0.005130108,1.2803956e-12,2.203459,1.0267171e-12,2.682131,31560000.0,1853.3972,277.1027,PLSuperExpCutoff ,2.3867314687355554e-11,1.7383737324860493e-09,9.161974343663756e-12
4FGL J1831.5-0935 ,PSR  ,-9.5845,4.0516066e-11,3.7129633e-09,0.012460347,22.142796,1.5567101e-20,5.3127646,0.3167547,0.6666667,0.036772452,9.657749e-12,0.34592798,3.641101e-12,2.793924,31560000.0,980.118,277.8821,PLSuperExpCutoff ,1.07630550670488e-12,9.858739433105556e-11,1.4178054330034572e-16
4FGL J1832.4-0847 ,PSR  ,-8.7935,2.0057846e-11,3.795497e-09,0.1861693,22.944252,6.343145e-13,2.2917964,0.68254864,0.6666667,0.01305726,6.2628445e-13,0.47173804,3.9322397e-13,2.499776,31560000.0,2786.2124,278.1013,PLSuperExpCutoff ,1.5118629440837299e-12,2.8604148853451647e-10,1.9282898238986566e-12
4FGL J1833.0-3840 ,psr  ,-38.6702,2.5999758e-12,4.3815826e-10,-13.250003,356.01675,2.5599266e-13,2.2762644,0.5046333,0.6666667,0.014850593,2.4963484e-13,0.77473485,1.5078052e-13,2.3043306,31560000.0,1538.4823,278.2605,PLSuperExpCutoff ,3.593428274705337e-13,6.054399956936772e-11,1.198441652064818e-13
4FGL J1833.5-1033 ,PSR  ,-10.5568,8.197446e-11,8.883778e-09,-0.8741507,21.50818,2.27606e-12,2.5579355,0.2154026,0.6666667,0.005825169,2.2896674e-12,1.8242517,1.8043875e-12,2.5008273,31560000.0,2096.9873,278.3832,PLSuperExpCutoff ,3.156926520932697e-11,3.4205684318803827e-09,2.914605391380613e-11
4FGL J1836.2+5925 ,PSR  ,59.4279,6.197653e-10,1.037873e-07,25.000618,88.878265,1.2980023e-10,1.8838184,0.3943874,0.7331032,0.0066074324,1.2346632e-10,0.9649652,7.9663935e-11,2.054989,31560000.0,1024.4769,279.0556,PLSuperExpCutoff ,2.138413391472431e-10,3.579954298356134e-08,1.012939865980466e-10
4FGL J1837.8-0604 ,PSR  ,-6.0824,4.133494e-11,3.0729324e-09,0.22730096,25.97692,2.5095477e-13,2.4955328,0.13453142,0.6666667,0.0018193132,2.392467e-13,2.1028647,2.0584241e-13,2.417984,31560000.0,3535.5696,279.4726,PowerLaw         ,2.2141190534689874e-11,2.1532047066572805e-09,6.065470667352249e-11
4FGL J1838.9-0537 ,PSR  ,-5.6174,1.1223042e-10,1.6139431e-08,0.19904429,26.51483,1.1461953e-12,2.6210513,0.3421659,0.6666667,0.0070278514,1.1752092e-12,1.3906779,8.096109e-13,2.4074857,31560000.0,3687.6067,279.7459,PLSuperExpCutoff ,2.0972864693781045e-11,3.015434216514502e-09,3.678872883357421e-11
4FGL J1843.7-1114 ,PSR  ,-11.242,2.1786536e-11,2.0653745e-09,-3.4175267,22.0465,3.56455e-12,2.5343246,0.31818673,0.6666667,0.011424077,3.4807205e-12,1.6600829,2.706025e-12,2.6205955,31560000.0,1017.19836,280.937,PLSuperExpCutoff ,6.861699853110256e-12,6.503360406993306e-10,8.323843505893639e-13
4FGL J1844.4-0345 ,PSR  ,-3.7579,4.6334648e-11,8.4355145e-09,-0.16616404,28.79405,1.9187317e-12,2.4750164,0.6542511,0.6666667,0.01475928,1.8997848e-12,0.6010113,1.2107233e-12,2.4969292,31560000.0,2351.1785,281.1182,PLSuperExpCutoff ,3.4087060158352795e-12,6.204523720003207e-10,1.763639997880201e-12
4FGL J1846.3+0919 ,PSR  ,9.3322,3.5666223e-11,6.5683317e-09,5.3541045,40.689625,2.5434537e-12,2.0588133,0.5006983,0.6666667,0.013139128,2.5152014e-12,0.6059813,1.6378934e-12,2.183992,31560000.0,1830.4202,281.5957,PLSuperExpCutoff ,4.994099272084825e-12,9.195558033253235e-10,4.708157258672339e-12
4FGL J1852.2-1309 ,psr  ,-13.1595,4.4435944e-12,8.661523e-10,-6.1454973,21.271141,4.1335362e-13,1.9615566,0.5075073,0.6666667,0.012906703,3.9868271e-13,0.65590805,2.7374563e-13,2.3085825,31560000.0,1643.4594,283.0739,LogParabola      ,7.741604108094824e-13,1.4074826981921632e-10,7.162741006116304e-13
4FGL J1853.3-0005 ,PSR  ,-0.0895,7.406228e-12,1.3613072e-09,-0.47620907,33.075344,1.2123288e-13,2.3236504,0.7273532,0.6666667,0.011387241,1.1841869e-13,0.3118401,7.201934e-14,2.3874667,31560000.0,3974.4263,283.3487,PLSuperExpCutoff ,4.2540123619705386e-13,7.818207327028651e-11,1.2856421152647542e-12
4FGL J1855.9-1435 ,PSR  ,-14.5908,5.3841684e-12,7.769037e-10,-7.5811906,20.377983,2.101077e-13,2.1501868,0.17833233,0.6666667,0.005684979,2.1644843e-13,1.4000648,1.6797937e-13,2.2426336,31560000.0,2050.689,283.9946,PLSuperExpCutoff ,2.151096462333732e-12,3.1033417700172723e-10,6.399784659963779e-12
4FGL J1857.2+0941 ,psr  ,9.695,1.07255906e-11,5.358102e-10,3.1177263,42.23132,8.302278e-13,2.874059,0.2962319,0.6666667,0.010625381,8.2108983e-13,1.9215053,6.1018134e-13,2.7223122,31560000.0,1164.0425,284.3227,PowerLaw         ,2.7384281603429063e-12,1.9800835979321082e-10,2.035325814089203e-13
4FGL J1857.6+0143 ,PSR  ,1.7327,1.3843869e-11,2.8659042e-09,-0.5883023,35.180607,3.8562686e-13,2.5639021,0.99995637,0.6666667,0.017698783,3.7356633e-13,0.0001902147,2.0606792e-13,2.533481,31560000.0,3099.2524,284.409,PLSuperExpCutoff ,3.216501467048752e-13,6.65772539074871e-11,1.9652812303660447e-13
4FGL J1858.3-2216 ,PSR  ,-22.2805,1.1240595e-11,2.2399211e-09,-11.393109,13.582583,9.384155e-13,2.0984695,0.63217294,0.6666667,0.017554779,9.317327e-13,0.21391915,5.531652e-13,2.180132,31560000.0,1793.9574,284.5752,PLSuperExpCutoff ,8.418496002065317e-13,1.6772632199296326e-10,3.5312043634882835e-13
4FGL J1901.4-0126 ,PSR  ,-1.4391,1.9489715e-11,2.6705103e-09,-2.8904533,32.795216,1.6798234e-12,2.1997917,0.31998456,0.6666667,0.008082135,1.6217024e-12,1.4317123,1.2863654e-12,2.4126768,31560000.0,1453.3555,285.3702,PLSuperExpCutoff ,6.910464927001518e-12,9.466806748958578e-10,7.019041292897066e-12
4FGL J1902.0-5105 ,PSR  ,-51.09,2.2682946e-11,2.7549676e-09,-22.37528,345.65936,3.496523e-12,2.2742774,0.28045303,0.6666667,0.009120108,3.411609e-12,1.5364358,2.6119467e-12,2.3127534,31560000.0,1083.445,285.5105,PLSuperExpCutoff ,8.668423610640632e-12,1.052586422311484e-09,4.226311112540044e-12
4FGL J1903.4-7053 ,PSR  ,-70.8886,5.2615286e-12,1.0361711e-09,-26.494732,324.35947,3.2487636e-13,1.9050841,0.611452,0.6666667,0.0143398065,3.179333e-13,0.21496429,1.9760226e-13,2.084156,31560000.0,2070.8464,285.8622,PLSuperExpCutoff ,5.121159050199805e-13,1.0083928067619329e-10,6.755612622117769e-13
4FGL J1906.4+0723 ,PSR  ,7.3982,7.764117e-11,9.874895e-09,0.05500582,41.22225,1.1527807e-12,2.7684176,0.29055378,0.6666667,0.008107383,1.2080383e-12,1.5315723,7.893166e-13,2.459334,31560000.0,2855.796,286.6115,PLSuperExpCutoff ,1.518511268569182e-11,1.9309167800920887e-09,1.166880064245815e-11
